MiniCourse [courseNumber=771, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=772, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=773, courseType=NEED_TO_TAKE, courseGrade=A]
MiniCourse [courseNumber=771, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=772, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=773, courseType=NEED_TO_TAKE, courseGrade=A]
MiniCourse [courseNumber=771, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=772, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=773, courseType=NEED_TO_TAKE, courseGrade=A]
MiniCourse [courseNumber=771, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=772, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=773, courseType=NEED_TO_TAKE, courseGrade=A]
MiniCourse [courseNumber=771, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=772, courseType=TAKEN, courseGrade=A]
MiniCourse [courseNumber=773, courseType=NEED_TO_TAKE, courseGrade=A]
